acorregir,reemplazar
abrazaderas (seda),abrazaderas de seda
abrazaderas mezcla (seda),abrazaderas de seda mezcla
aceita para maquinas,aceite para maquinas
"aceite de nabo, coco, etc.","aceite de nabo, coco, etc"
aceite de oliva,aceite de olivo
acido carbonico para la industria,acido carbonico
acido clorhidrico o muriatico,acido clorhidrico
acidos,acidos en general
acolchado de seda mezcla,acolchados de seda mezcla
adobe apra curtidurias,adobe para curtidurias
adobe para curtiduria,adobe para curtidurias
agua de soda y mineral,aguas de soda y minerales
agua de soda y minerales,aguas de soda y minerales
agua mineral,aguas minerales
aguaraz,aguarraz
aguardiente todas,aguardiente de toda clase
aguardientes,aguardiente de toda clase
aguarras,aguarraz
agujetas para calzado (seda),agujetas para calzado de seda
ajo y cebollas,ajos y cebollas
alabastro labrado,alabasto labrado
alafareria (articulos de),alfareria (articulos de)
alambre para cerco,alambre para cercos
alcohol carburado para quemar,alcohol para quemar
alfagias,alfajias
alfareria,alfareria (articulos de)
alfareria (articulos),alfareria (articulos de)
algodon (borra),algodon (borra de)
algodon borra,algodon (borra de)
algondon (borra de),algodon (borra de)
"alquitra, brea, resina y pez","alquitran, brea, resina y pez"
alquitran y brea,"alquitran, brea, resina y pez"
"alquitran, brea, recina y pez","alquitran, brea, resina y pez"
alquitras y brea,"alquitran, brea, resina y pez"
"alquitrin, brea, resina y pez","alquitran, brea, resina y pez"
anana,ananas
ananaes,ananas
aparato para gas y luz electrica,aparatos para gas y luz electrica
armeria,armeria (articulos de)
armeria (articulos),armeria (articulos de)
armoniums,armonios
arpilleria,arpillera
articulos de escritoria y educacion,articulos de escritorio y educacion
articulos diversos sin clasificacion,articulos no especificados
articulos sin clasificacion,articulos no especificados
articulos sin especificacion,articulos no especificados
articulos sin especificar,articulos no especificados
arts de algodon no especificados,articulos de algodon no especificados
arvejas y otros,"arvejas, habas, porotos, garbanzos y lentejas"
asnales,asnos
azucar glucosa,azucar de glucosa
badanas y cabra charolada,badanas y cabras charoladas
badanas y cabra charoladas,badanas y cabras charoladas
badanas y cabras charolas,badanas y cabras charoladas
baldosas azulejos,baldosas de azulejos
baldosas mosaico,baldosas de mosaico
baldosas portland,baldosas de portland
baldozas (azulejos),baldosas de azulejos
baldozas azulejos,baldosas de azulejos
baldozas de barro,baldosas de barro
baldozas de barro y portland,baldosas de barro y portland
baldozas de barro y tejas,"baldosas de barro, tejas, etc"
baldozas de marmol,baldosas de marmol
baldozas de mosaico,baldosas de mosaico
baldozas de piedra y vidrio,baldosas de piedra y vidrio
baldozas de portland,baldosas de portland
baldozas de vidrio,baldosas de vidrio
baldozas de zinc,baldosas de zinc
baldozas mosaico,baldosas de mosaico
baldozas y azulejos,baldosas de azulejos
balnzas y romanas,balanzas y romanas
bañaderas y mangas para bañar ganado,bañaderos para ganado
bananas (cachos),bananas
barniz para palos de buque,barniz para palos de buques
bateria de cocina,baterias de cocina
baules y balijas,baules y valijas
bebederos,bebederos para animales
bebederos para ganado,bebederos para animales
becerro,becerros (cueros preparados de)
becerro charloado,becerro charolado
becerros,becerros (cueros preparados de)
becerros charolados,becerro charolado
betun en cajas,betun
bicicletas (accesorios),bicicletas (accesorios de)
bicicletas accesorios,bicicletas (accesorios de)
biscochos,bizcochos
bolsas de arpilleria,bolsas de arpillera
bolsas de harpillera,bolsas de arpillera
